t,aerospike,bell
5.72,1340.737824,1282.837439
5.73,1345.4541,1287.353978
5.74,1350.178623,1291.878424
5.75,1354.911392,1296.410778
5.76,1359.652406,1300.951039
5.77,1364.401666,1305.499207
5.78,1369.159171,1310.055281
5.79,1373.924921,1314.619262
5.8,1378.698916,1319.191149
5.81,1383.481155,1323.770942
5.82,1388.271639,1328.358641
5.83,1393.070367,1332.954246
5.84,1397.877339,1337.557757
5.85,1402.692555,1342.169173
5.86,1407.516014,1346.788494
5.87,1412.347717,1351.41572
5.88,1417.187663,1356.05085
5.89,1422.035851,1360.693886
5.9,1426.892283,1365.344826
5.91,1431.756958,1370.00367
5.92,1436.629875,1374.670419
5.93,1441.511034,1379.345072
5.94,1446.400436,1384.027628
5.95,1451.29808,1388.718088
5.96,1456.203965,1393.416451
5.97,1461.118092,1398.122718
5.98,1466.040461,1402.836888
5.99,1470.971072,1407.558961
6,1475.909923,1412.288936
6.01,1480.857016,1417.026815
6.02,1485.81235,1421.772595
6.03,1490.775924,1426.526277
6.04,1495.74774,1431.287862
6.05,1500.727796,1436.057348
6.06,1505.716092,1440.834736
6.07,1510.712628,1445.620025
6.08,1515.717405,1450.413215
6.09,1520.730422,1455.214307
6.1,1525.751679,1460.023299
6.11,1530.781175,1464.840192
6.12,1535.818911,1469.664985
6.13,1540.864887,1474.497679
6.14,1545.919102,1479.338273
6.15,1550.981556,1484.186767
6.16,1556.05225,1489.043161
6.17,1561.131183,1493.907455
6.18,1566.218354,1498.779649
6.19,1571.313765,1503.659742
6.2,1576.417414,1508.547734
6.21,1581.529302,1513.443626
6.22,1586.649428,1518.347417
6.23,1591.777793,1523.259107
6.24,1596.914397,1528.178696
6.25,1602.059238,1533.106184
6.26,1607.212318,1538.04157
6.27,1612.373636,1542.984855
6.28,1617.543192,1547.936039
6.29,1622.720986,1552.89512
6.3,1627.907017,1557.8621
6.31,1633.101287,1562.836978
6.32,1638.303793,1567.819754
6.33,1643.514538,1572.810427
6.34,1648.733519,1577.808998
6.35,1653.960738,1582.815467
6.36,1659.196194,1587.829832
6.37,1664.439887,1592.852096
6.38,1669.691817,1597.882256
6.39,1674.951984,1602.920313
6.4,1680.220388,1607.966268
6.41,1685.497028,1613.020119
6.42,1690.781905,1618.081867
6.43,1696.075018,1623.151512
6.44,1701.376367,1628.229053
6.45,1706.685952,1633.31449
6.46,1712.003773,1638.407824
6.47,1717.32983,1643.509054
6.48,1722.664123,1648.618181
6.49,1728.006651,1653.735203
6.5,1733.357415,1658.860121
6.51,1738.716414,1663.992936
6.52,1744.083648,1669.133646
6.53,1749.459117,1674.282252
6.54,1754.842821,1679.438753
6.55,1760.23476,1684.60315
6.56,1765.634934,1689.775443
6.57,1771.043342,1694.955631
6.58,1776.459985,1700.143715
6.59,1781.884862,1705.339693
6.6,1787.317974,1710.543567
6.61,1792.75932,1715.755336
6.62,1798.2089,1720.975
6.63,1803.666715,1726.202559
6.64,1809.132763,1731.438013
6.65,1814.607045,1736.681361
6.66,1820.089562,1741.932605
6.67,1825.580312,1747.191743
6.68,1831.079295,1752.458775
6.69,1836.586513,1757.733702
6.7,1842.101964,1763.016523
6.71,1847.625649,1768.307239
6.72,1853.157567,1773.605848
6.73,1858.697719,1778.912352
6.74,1864.246104,1784.226749
6.75,1869.802722,1789.54904
6.76,1875.367574,1794.879225
6.77,1880.940659,1800.217303
6.78,1886.521977,1805.563275
6.79,1892.111529,1810.917141
6.8,1897.709314,1816.278899
6.81,1903.315332,1821.648551
6.82,1908.929583,1827.026097
6.83,1914.552067,1832.411535
6.84,1920.182785,1837.804866
6.85,1925.821735,1843.20609
6.86,1931.468919,1848.615207
6.87,1937.124336,1854.032217
6.88,1942.787986,1859.45712
6.89,1948.459869,1864.889915
6.9,1954.139986,1870.330603
6.91,1959.828335,1875.779184
6.92,1965.524918,1881.235657
6.93,1971.229733,1886.700022
6.94,1976.942782,1892.17228
6.95,1982.664065,1897.652431
6.96,1988.39358,1903.140474
6.97,1994.131329,1908.636409
6.98,1999.877311,1914.140236
6.99,2005.631527,1919.651956
7,2011.393976,1925.171568
7.01,2017.164658,1930.699072
7.02,2022.943574,1936.234468
7.03,2028.730724,1941.777757
7.04,2034.526107,1947.328937
7.05,2040.329725,1952.88801
7.06,2046.141575,1958.454975
7.07,2051.96166,1964.029832
7.08,2057.789979,1969.612582
7.09,2063.626532,1975.203223
7.1,2069.471319,1980.801757
7.11,2075.32434,1986.408183
7.12,2081.185595,1992.0225
7.13,2087.055085,1997.644711
7.14,2092.932809,2003.274813
7.15,2098.818768,2008.912808
7.16,2104.712962,2014.558694
7.17,2110.61539,2020.212474
7.18,2116.526054,2025.874145
7.19,2122.444952,2031.543709
7.2,2128.372086,2037.221165
7.21,2134.307455,2042.906514
7.22,2140.251059,2048.599755
7.23,2146.2029,2054.300889
7.24,2152.162976,2060.009915
